inn;name;region;okved_main;reg_date;revenue;revenue_year;source
7702770003;"АО ""ЦПЛ""";121170, город Москва, Поклонная ул, д. 3, этаж 3/помещ. 120;Деятельность по созданию и использованию баз данных и информационных ресурсов;31.08.2011;140 702 722 000 руб.+151%;2025;https://www.rusprofile.ru/
9718101499;"ООО ""Яндекс.Лавка""";123112, город Москва, 1-Й Красногвардейский проезд, д. 22 стр. 1, этаж 12 помещ. 12-40;Разработка компьютерного программного обеспечения;15.05.2018;110 269 708 000 руб.+64%;2025;https://www.rusprofile.ru/
7708119944;"ООО ИК ""Сибинтек""";117152, город Москва, Загородное ш., д. 1 к. 1;Деятельность по созданию и использованию баз данных и информационных ресурсов;26.08.1999;56 565 923 000 руб.+9%;2025;https://www.rusprofile.ru/
7707767501;"ООО ""МВС""";115432, город Москва, пр-кт Андропова, д. 18 к. 9, этаж 16 помещ. 35;Разработка компьютерного программного обеспечения;11.01.2012;51 373 406 000 руб.+58%;2025;https://www.rusprofile.ru/
9705118142;"ООО ""Инстамарт Сервис""";142111, город Москва, г Щербинка, ул Кутузова, д. 12;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;22.05.2018;46 790 369 000 руб.+36%;2025;https://www.rusprofile.ru/
7701793872;"ООО ""Ланит-Интеграция""";125009, город Москва, Газетный пер, д. 9 стр. 7, эт 1 пом I ком 4;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;28.07.2008;42 379 537 000 руб.+22%;2025;https://www.rusprofile.ru/
7702404085;"ООО ""Рубитех""";129085, город Москва, ул Годовикова, д. 9 стр. 17, этаж 8 помещ. 5;Деятельность консультативная и работы в области компьютерных технологий;25.07.2016;38 099 861 000 руб.+73%;2025;https://www.rusprofile.ru/
7734358970;"АО ""РАСУ""";115230, город Москва, Каширское ш., д. 3к2стр16, этаж 6, каб. 6.02;Деятельность консультативная и работы в области компьютерных технологий;28.07.2015;37 070 261 000 руб.+81%;2025;https://www.rusprofile.ru/
9705120864;"АО ""Точка""";119002, город Москва, Староконюшенный пер, д. 10;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;04.07.2018;34 605 229 000 руб.+36%;2025;https://www.rusprofile.ru/
7743180892;"ООО ""ТЦР""";127287, город Москва, ул Хуторская 2-Я, д. 38а стр. 26, этаж/помещ 4/VIII ком. 10;Разработка компьютерного программного обеспечения;09.11.2016;32 927 061 000 руб.+84%;2025;https://www.rusprofile.ru/
7706729736;"АО ""Гринатом""";119017, город Москва, ул. Большая Ордынка, д.24;Разработка компьютерного программного обеспечения;18.12.2009;30 036 700 000 руб.+14%;2025;https://www.rusprofile.ru/
7703475603;"ООО ""Озон Технологии""";123112, город Москва, Пресненская наб., д. 10, помещ. I, этаж 41, комн. 7;Разработка компьютерного программного обеспечения;13.05.2019;27 137 469 000 руб.+46%;2025;https://www.rusprofile.ru/
7704329852;"ООО ""Сервис-Телематика""";127254, город Москва, Огородный проезд, д. 16/1 стр. 4, помещ. 205;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;22.09.2015;25 422 247 000 руб.+192%;2025;https://www.rusprofile.ru/
7725629159;"АО ""НВБС""";127018, город Москва, Складочная ул, д. 3 стр. 1;Деятельность консультативная и работы в области компьютерных технологий;13.02.2008;23 949 435 000 руб.+36%;2025;https://www.rusprofile.ru/
5003150437;"ООО ""ВБ Тех""";142181, Московская область, д Коледино, тер. Индустриальный Парк Коледино, д. 6 стр. 1;Разработка компьютерного программного обеспечения;25.04.2022;23 392 760 000 руб.+245%;2025;https://www.rusprofile.ru/
9710089440;"ООО ""Авито Тех""";125196, город Москва, Лесная ул, д. 7, этаж 5 ком. 1-39;Разработка компьютерного программного обеспечения;04.05.2021;22 656 333 000 руб.+93%;2025;https://www.rusprofile.ru/
7743773042;"ООО ""Норникель Спутник""";125130, город Москва, Старопетровский пр-д, д. 11 к. 2, ком. 511;Деятельность по сопровождению компьютерных систем;17.03.2010;21 964 684 000 руб.+19%;2025;https://www.rusprofile.ru/
7736632467;"АО ""Сбертех""";117105, город Москва, Новоданиловская наб., д.10;Разработка компьютерного программного обеспечения;06.07.2011;20 563 603 000 руб.+26%;2025;https://www.rusprofile.ru/
7704356648;"ООО ""РТК ИБ""";125009, город Москва, Никитский пер., д. 7 стр. 1, эт/пом/ком 2/I/58;Деятельность по управлению компьютерным оборудованием;11.05.2016;17 778 409 000 руб.+61%;2025;https://www.rusprofile.ru/
7605016030;"ООО ""Компания ""Тензор""";150001, Ярославская область, город Ярославль, Московский пр-кт, д.12;Разработка компьютерного программного обеспечения;10.06.1999;17 469 325 000 руб.+27%;2025;https://www.rusprofile.ru/
5030065734;"ООО ""РТК ИТ""";108811, город Москва, км 22-Й (Киевское Ш.), двлд. 6 стр. 1, офис е434;Разработка компьютерного программного обеспечения;10.04.2009;17 252 756 000 руб.+30%;2025;https://www.rusprofile.ru/
9704161593;"ООО ""Яндекс Крауд""";119021, город Москва, ул Льва Толстого, д. 16, этаж 2 помещ/часть комнаты X/1;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;05.09.2022;17 247 579 000 руб.+80%;2025;https://www.rusprofile.ru/
7736663049;"ООО ""Сбербанк-Сервис""";127018, город Москва, ул Двинцев, д. 12 к. 1, помещ. 1/1;Деятельность консультативная и работы в области компьютерных технологий;08.08.2013;16 106 422 000 руб.+71%;2025;https://www.rusprofile.ru/
7710022410;"АО ""Гипротрубопровод""";119334, город Москва, ул. Вавилова, д.24 к.1;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;10.08.1994;15 901 196 000 руб.+10%;2025;https://www.rusprofile.ru/
7707507077;"ООО ""Платформикс""";127287, город Москва, ул Хуторская 2-Я, д. 38а стр. 15;Деятельность консультативная и работы в области компьютерных технологий;26.11.2003;15 816 837 000 руб.+27%;2025;https://www.rusprofile.ru/
7736279160;"ООО ""Облачные Технологии""";117312, город Москва, ул. Вавилова, д. 23 стр. 1, ком. n1.207;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;04.10.2016;15 603 744 000 руб.+76%;2025;https://www.rusprofile.ru/
7704869777;"ООО ""Ртитс""";127015, город Москва, Вятская ул, д. 27 стр. 16, этаж 2 пом I ком 16;Разработка компьютерного программного обеспечения;24.07.2014;14 702 345 000 руб.+3%;2025;https://www.rusprofile.ru/
7731642944;"ООО ""Телеком Интеграция""";117420, город Москва, ул Намёткина, д. 12а;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;25.01.2010;14 480 757 000 руб.+21%;2025;https://www.rusprofile.ru/
7736249247;"ООО ""Домклик""";121170, город Москва, Кутузовский пр-кт, д. 32 к. 1;Разработка компьютерного программного обеспечения;20.07.2015;13 939 137 000 руб.+13%;2025;https://www.rusprofile.ru/
9710053162;"ООО ""РТК ЦТ""";125284, город Москва, Ленинградский пр-кт, д. 35 стр. 1, этаж/помещ. 4/I ком. 49;Деятельность по созданию и использованию баз данных и информационных ресурсов;20.03.2018;13 646 398 000 руб.-42%;2025;https://www.rusprofile.ru/
4400001172;"ООО ""Совкомбанк Технологии""";143007, Московская область, г Одинцово, Вокзальная ул, д. 3б, помещ. 49 ком. 307;Разработка компьютерного программного обеспечения;15.02.2021;13 627 924 000 руб.+80%;2025;https://www.rusprofile.ru/
9717068640;"ООО ""ВУШ""";127006, город Москва, Долгоруковская ул, д. 21 стр. 1;Разработка компьютерного программного обеспечения;05.06.2018;13 329 927 000 руб.+25%;2025;https://www.rusprofile.ru/
7713479734;"ООО ""ВК-Ит""";143401, Московская область, г Красногорск, б-р Строителей, д. 4 к. 1, помещ. XXV ком. 32,34;Разработка компьютерного программного обеспечения;19.01.2021;13 281 118 000 руб.+32%;2025;https://www.rusprofile.ru/
5042117602;"ООО ""Экспертстройпроект""";129344, город Москва, Енисейская ул., д. 1 стр. 1, эт/пом 4/422;Разработка компьютерного программного обеспечения;01.03.2011;12 800 310 000 руб.-30%;2025;https://www.rusprofile.ru/
9725070121;"ООО ""Цифровые Технологии и Платформы""";115054, город Москва, Дубининская ул, д. 57 стр. 1, помещ. 12;Разработка компьютерного программного обеспечения;22.12.2021;12 491 523 000 руб.+57%;2025;https://www.rusprofile.ru/
7743282541;"АО ""ДЦОА""";115114, город Москва, Кожевнический проезд, д. 1;Разработка компьютерного программного обеспечения;16.11.2018;12 423 632 000 руб.+170%;2025;https://www.rusprofile.ru/
7713488827;"ООО ""СМ Лаб""";127422, город Москва, Тимирязевская ул, д. 1, этаж 4 ком. 4.с.2;Разработка компьютерного программного обеспечения;25.04.2022;12 252 435 000 руб.+41%;2025;https://www.rusprofile.ru/
7703282175;"АО ""Ситроникс Ай Ти""";109316, город Москва, Волгоградский пр-кт, д. 32 к. 31, этаж 3 ком. W321;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;19.07.2001;11 976 348 000 руб.+21%;2025;https://www.rusprofile.ru/
7706673610;"ООО ""БФТ""";308001, Белгородская область, город Белгород, пл. Литвинова, д.9, помещение 1,2,3,4,5,7,8;Разработка компьютерного программного обеспечения;06.11.2007;11 306 290 000 руб.+25%;2025;https://www.rusprofile.ru/
5047053920;"АО ""РТ Лабс""";141402, Московская область, город Химки, Пролетарская ул, д. 23, ком. 101;Разработка компьютерного программного обеспечения;01.04.2003;10 932 706 000 руб.+40%;2025;https://www.rusprofile.ru/
9704107589;"ООО ""Яндекс.Доставка Холдинг""";123112, город Москва, 1-Й Красногвардейский проезд, д. 22 стр. 1, этаж 12 помещ. 12-40;Разработка компьютерного программного обеспечения;15.12.2021;10 880 547 000 руб.+34%;2025;https://www.rusprofile.ru/
7722531204;"АО ""Текон-Инжиниринг""";123423, город Москва, 3-Я Хорошёвская ул., д. 20;Разработка компьютерного программного обеспечения;22.11.2004;10 627 820 000 руб.+8%;2025;https://www.rusprofile.ru/
7714415613;"ООО ""ВК Цифровые Технологии""";125167, город Москва, Ленинградский пр-кт, д. 39 стр. 79, этаж 17;Разработка компьютерного программного обеспечения;29.09.2017;10 473 120 000 руб.+33%;2025;https://www.rusprofile.ru/
5027281502;"ООО ""СМТ-Строй""";140054, Московская область, г Котельники, мкр. Ковровый, д. 37, этаж 4 помещ. 404;Деятельность по созданию и использованию баз данных и информационных ресурсов;29.10.2019;10 132 529 000 руб.+61%;2025;https://www.rusprofile.ru/
7713728490;"ООО ""Философия.ИТ""";107023, город Москва, ул. Измайловский Вал, д. 30;Разработка компьютерного программного обеспечения;13.05.2011;10 051 899 000 руб.+1%;2025;https://www.rusprofile.ru/
7710718303;"ООО ""Сравни.Ру""";109544, город Москва, б-р Энтузиастов, д. 2, этаж 26;Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет;16.05.2008;9 998 547 000 руб.+27%;2025;https://www.rusprofile.ru/
7728815650;"ООО ""Транснефть-Технологии""";125252, город Москва, 3-я Песчаная ул., д. 2а, башня юго-восточная (синяя) эт 10 пом 1005;Деятельность по созданию и использованию баз данных и информационных ресурсов;08.08.2012;9 554 119 000 руб.+36%;2025;https://www.rusprofile.ru/
7735116621;"АО ""Ситроникс""";109316, город Москва, Волгоградский пр-кт, д. 32 к. 31, этаж 3 помещ. 2;Разработка компьютерного программного обеспечения;09.12.2002;9 382 436 000 руб.-39%;2025;https://www.rusprofile.ru/
7729445882;"ООО ""ППГ""";117292, город Москва, ул Дмитрия Ульянова, д. 7а, помещ. I ком. 7;Деятельность консультативная и работы в области компьютерных технологий;04.02.2015;9 288 082 000 руб.+13%;2025;https://www.rusprofile.ru/
7704370385;"ООО ""РСХБ-Интех""";119034, город Москва, Гагаринский пер, д. 3, этаж 2 ком. 40;Разработка компьютерного программного обеспечения;01.09.2016;9 221 755 000 руб.+29%;2025;https://www.rusprofile.ru/
1435308804;"ООО ""Ин14""";677000, Республика Саха (Якутия), г Якутск, мкр. 203, д. 28;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;31.05.2016;3 381 990 000 руб.+19%;2025;https://www.rusprofile.ru/
2536133126;"ООО ""Фарпост""";690001, Приморский край, город Владивосток, Пушкинская ул., д.40;Разработка компьютерного программного обеспечения;02.04.2003;2 601 454 000 руб.+21%;2025;https://www.rusprofile.ru/
2543151084;"ООО ""ДНС Технологии""";690068, Приморский край, город Владивосток, пр-кт 100-летия Владивостока, д. 155, корпус 3, офис 5;Разработка компьютерного программного обеспечения;05.08.2020;2 053 924 000 руб.+38%;2025;https://www.rusprofile.ru/
2724108997;"ООО ""Нпти""";680014, Хабаровский край, г Хабаровск, Георгиевская ул, д. 21а, помещ. 55;Деятельность по созданию и использованию баз данных и информационных ресурсов;14.08.2007;653 989 000 руб.+9%;2025;https://www.rusprofile.ru/
7838017968;"ООО ""Газинформсервис""";198096, город Санкт-Петербург, Кронштадтская ул., д. 10 литера а;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;11.02.2004;33 327 264 000 руб.-7%;2025;https://www.rusprofile.ru/
7728654530;"ООО ""Газпромнефть-ЦР""";196084, город Санкт-Петербург, Киевская ул., д. 5 к. 4, чпом 64-н пом 1 офис 5502;Разработка компьютерного программного обеспечения;01.04.2008;22 173 612 000 руб.+25%;2025;https://www.rusprofile.ru/
7727696104;"ООО ""Газпром Информ""";196143, город Санкт-Петербург, пл Победы, д. 2 литера А, помещ. 1-н кабинет 422;Деятельность по созданию и использованию баз данных и информационных ресурсов;21.08.2009;20 047 567 000 руб.-12%;2025;https://www.rusprofile.ru/
8905032518;"ООО ""Газпромнефть ИТО""";190013, город Санкт-Петербург, Московский пр-кт, д. 60/129 литера а часть помещения 1-н, комнаты 195-207;Деятельность по управлению компьютерным оборудованием;01.12.2003;16 985 032 000 руб.+33%;2025;https://www.rusprofile.ru/
7810840970;"ООО ""Лаборатория ВС""";196006, город Санкт-Петербург, Цветочная ул, д. 18 литера б, офис 303;Разработка компьютерного программного обеспечения;21.09.2011;15 208 321 000 руб.-10%;2025;https://www.rusprofile.ru/
7801019126;"АО ""Нэксайн""";199155, город Санкт-Петербург, Уральская ул, д. 4 литера Б, помещ. 22н;Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги;03.03.1992;13 145 707 000 руб.+83%;2025;https://www.rusprofile.ru/
7810962785;"АО ""Селектел""";196006, город Санкт-Петербург, Цветочная ул, д. 21 литера А;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;08.07.2024;13 050 420 000 руб.;2025;https://www.rusprofile.ru/
3528007105;"АО ""Северсталь-Инфоком""";162602, Вологодская область, город Череповец, ул. Ленина, д. 123а;Разработка компьютерного программного обеспечения;06.06.2002;7 246 846 000 руб.+33%;2025;https://www.rusprofile.ru/
5024182694;"ООО ""Инносети""";236016, Калининградская область, г Калининград, ул Фрунзе, зд. 51, помещ. 26;Разработка компьютерного программного обеспечения;07.02.2018;7 077 135 000 руб.+25%;2025;https://www.rusprofile.ru/
7806038436;"ООО ""Леста""";195112, город Санкт-Петербург, пл. Карла Фаберже, д. 8 литер в, помещ. 40н;Разработка компьютерного программного обеспечения;22.12.1995;5 860 143 000 руб.+29%;2025;https://www.rusprofile.ru/
7801378904;"ООО ""Сигма""";195009, город Санкт-Петербург, Свердловская наб., д.4 литер б;Разработка компьютерного программного обеспечения;15.04.2005;5 099 162 000 руб.+1%;2025;https://www.rusprofile.ru/
7810385714;"ООО ""Биайэй-Технолоджиз""";196084, город Санкт-Петербург, Московский пр-кт, д. 94 литера А, помещ. 10-н;Разработка компьютерного программного обеспечения;06.11.2014;4 574 947 000 руб.-47%;2025;https://www.rusprofile.ru/
7801489298;"ООО ""Корус Консалтинг СРМ""";191119, город Санкт-Петербург, ул. Марата, д. 55/5 литер а, помещ. 5н;Разработка компьютерного программного обеспечения;05.02.2009;4 249 143 000 руб.+7%;2025;https://www.rusprofile.ru/
7804706511;"ООО ""НПФ ""Система-Сервис""";195009, город Санкт-Петербург, Арсенальная ул, д. 66 к. 3 стр. 1, офис 401;Деятельность консультативная и работы в области компьютерных технологий;23.01.2024;3 359 045 000 руб.;2025;https://www.rusprofile.ru/
7801392271;"ООО ""Сберкорус""";192007, город Санкт-Петербург, наб Обводного Канала, д. 60 литера А, помещ. 1-н;Разработка компьютерного программного обеспечения;03.11.2005;3 321 198 000 руб.-5%;2025;https://www.rusprofile.ru/
7724514910;ООО ЭТП ГПБ;191186, город Санкт-Петербург, Малая Конюшенная ул, д. 1-3 литера А, помещ. 19-н;Деятельность по созданию и использованию баз данных и информационных ресурсов;23.06.2004;3 210 705 000 руб.+20%;2025;https://www.rusprofile.ru/
7802138630;"ООО ""Лектон""";197046, город Санкт-Петербург, Петроградская наб, д. 36 литера А, помещ. 1-н, № 466;Разработка компьютерного программного обеспечения;27.01.2000;3 034 625 000 руб.;2025;https://www.rusprofile.ru/
7825483961;"ООО ""НТЦ Протей""";192102, город Санкт-Петербург, наб Реки Волковки, д. 7 литера А, помещ. 17н оф. 310;Разработка компьютерного программного обеспечения;25.09.2002;2 812 747 000 руб.+78%;2025;https://www.rusprofile.ru/
7805093681;"ООО ""ЦРТ""";город Санкт-Петербург, Выборгская наб., д. 45 литер е, пом. 1-н;Разработка компьютерного программного обеспечения;01.09.1997;2 798 513 000 руб.+48%;2025;https://www.rusprofile.ru/
7736581195;"ООО ""ИЦ Фосагро""";162622, Вологодская область, город Череповец, Северное ш, д. 36;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;23.07.2008;2 759 242 000 руб.+24%;2025;https://www.rusprofile.ru/
7810951536;"ООО ""Селектел-Лаб""";188684, Ленинградская область, Всеволожский р-н, гп Дубровка, Советская ул, зд. 1, помещ. 2;Разработка компьютерного программного обеспечения;26.07.2022;2 583 170 000 руб.+77%;2025;https://www.rusprofile.ru/
7813646509;"ООО ""Цифровая Индустриальная Платформа""";197101, город Санкт-Петербург, ул. Кропоткина, д. 1 литер а, ч. пом. 1-н, комн.147, 2 эт.;Разработка компьютерного программного обеспечения;21.08.2020;2 448 461 000 руб.+31%;2025;https://www.rusprofile.ru/
7809014190;"АО ""Супертел""";197046, город Санкт-Петербург, Петроградская наб, д. 38 литера А;Разработка компьютерного программного обеспечения;28.10.1993;2 433 184 000 руб.-24%;2025;https://www.rusprofile.ru/
7810132262;"ООО ""НПФ Беркут""";197229, город Санкт-Петербург, Лахтинский пр-кт, д. 85 к. 3 стр. 1, офис 7в;Разработка компьютерного программного обеспечения;23.12.1997;2 379 480 000 руб.+14%;2025;https://www.rusprofile.ru/
7802020639;"ООО ""Рексофт""";197022, город Санкт-Петербург, пр-кт Медиков, д. 3 литер а, помещ. 4н, офис 310;Разработка компьютерного программного обеспечения;30.05.1991;2 378 936 000 руб.+47%;2025;https://www.rusprofile.ru/
7802664778;"ООО ""Газпром Межрегионгаз Инжиниринг""";197046, город Санкт-Петербург, Певческий пер, д. 12 литера А, помещ. 810;Разработка компьютерного программного обеспечения;04.05.2018;2 374 246 000 руб.+3%;2025;https://www.rusprofile.ru/
7801619483;"ООО ""Аскон-Системы Проектирования""";199155, город Санкт-Петербург, ул Одоевского, д. 5 литера а;Разработка компьютерного программного обеспечения;24.12.2013;2 304 618 000 руб.+76%;2025;https://www.rusprofile.ru/
7802740517;"ООО ""Юнигеймпро""";194156, город Санкт-Петербург, пр-кт Энгельса, д. 37 литер б, помещ. 21-н раб место 3;Разработка компьютерного программного обеспечения;11.02.2011;2 289 794 000 руб.+71%;2025;https://www.rusprofile.ru/
7805772235;"ООО ""Датаджайл""";198097, город Санкт-Петербург, пр-кт Стачек, д. 47 литер е, помещ. 3-н кабинет 403;Разработка компьютерного программного обеспечения;11.11.2020;2 208 910 000 руб.+26%;2025;https://www.rusprofile.ru/
7804452480;"ООО ""Агентство Трафик""";195009, город Санкт-Петербург, ул. Комсомола, д. 41 литер а, офис 429;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;12.01.2011;2 073 338 000 руб.+15%;2025;https://www.rusprofile.ru/
7826714668;"АО ""Кодекс""";199004, город Санкт-Петербург, пр-кт Средний В.О., д. 36/40 литера А, помещ. 1-н помещ. 1044;Деятельность по созданию и использованию баз данных и информационных ресурсов;10.02.2000;2 044 542 000 руб.+22%;2025;https://www.rusprofile.ru/
7810671708;"ООО ""Гараж 8""";191144, город Санкт-Петербург, Новгородская ул, д. 17 стр. 1, офис 901;Разработка компьютерного программного обеспечения;16.03.2017;1 957 979 000 руб.-2%;2025;https://www.rusprofile.ru/
7801714480;"ООО ""РК Авангард""";199106, город Санкт-Петербург, пр-кт Средний В.О., д. 88 литера А, помещ. 39н ком. 3;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;14.07.2022;1 948 779 000 руб.+7%;2025;https://www.rusprofile.ru/
7838430413;"АО ""РАД""";190031, город Санкт-Петербург, пер Гривцова, д. 5 литера в;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;31.08.2009;1 906 825 000 руб.-11%;2025;https://www.rusprofile.ru/
7819305720;"АО ""Ситроникс КТ""";199178, город Санкт-Петербург, пр-кт Малый В.О., д.54 корп 5 лит п;Разработка компьютерного программного обеспечения;15.11.2006;1 892 836 000 руб.-33%;2025;https://www.rusprofile.ru/
7801597840;"ООО ""Новардис Консалтинг""";191025, город Санкт-Петербург, ул Маяковского, д. 3б литера А, помещ. 10-н(1);Деятельность по созданию и использованию баз данных и информационных ресурсов;11.03.2013;1 849 336 000 руб.+25%;2025;https://www.rusprofile.ru/
7805296890;"АО ""Полиметалл Инжиниринг""";198216, город Санкт-Петербург, пр-кт Народного Ополчения, д. 2, офис 309;Деятельность по созданию и использованию баз данных и информационных ресурсов;04.03.2004;1 821 310 000 руб.+15%;2025;https://www.rusprofile.ru/
7804680366;"ООО ""Мпстатс""";195257, город Санкт-Петербург, Гражданский пр-кт, д. 100 стр. 1, помещ. 242;Разработка компьютерного программного обеспечения;24.02.2021;1 749 335 000 руб.+14%;2025;https://www.rusprofile.ru/
7801296835;"ООО ""К-Софт Инжиниринг""";199106, город Санкт-Петербург, лн. 26-я В.О., д. 15 к. 2 литер а, офис 70н;Разработка компьютерного программного обеспечения;16.12.2015;1 680 669 000 руб.+35%;2025;https://www.rusprofile.ru/
7801676234;"ООО ""Недра""";199155, город Санкт-Петербург, Уральская ул, д. 4 литера Б, часть нежил. помещ. 27н(часть ч.п.1, ч.п.21-ч.п.40);Разработка компьютерного программного обеспечения;18.12.2019;1 645 945 000 руб.+48%;2025;https://www.rusprofile.ru/
7813386970;"ООО ""Цифра""";194044, город Санкт-Петербург, Гельсингфорсская ул., д. 4 к. 1 лит. в, помещ. 16н офис 20;Разработка компьютерного программного обеспечения;08.08.2007;1 550 173 000 руб.-40%;2025;https://www.rusprofile.ru/
1101169848;"ООО ""Додо Инжиниринг""";167001, Республика Коми, город Сыктывкар, Октябрьский пр-кт, д. 16, этаж 2;Разработка компьютерного программного обеспечения;21.10.2020;1 539 476 000 руб.+49%;2025;https://www.rusprofile.ru/
7810518403;"ООО ИА ""Автотрансинфо""";194044, город Санкт-Петербург, Гельсингфорсская ул, д. 2 литера А, помещ. 13-н;Деятельность по созданию и использованию баз данных и информационных ресурсов;02.06.2008;1 488 352 000 руб.+80%;2025;https://www.rusprofile.ru/
7801451618;"ООО ""Бегет""";195112, город Санкт-Петербург, пл. Карла Фаберже, д. 8 литер б, офис 726а;Разработка компьютерного программного обеспечения;22.10.2007;1 467 404 000 руб.+47%;2025;https://www.rusprofile.ru/
